branch	branch_descendants	Outgroup	bushbuck	nyala	lesser_kudu	greater_kudu	mountain_nyala	sitatunga	eland	giant_eland
b2	bushbuck,greater_kudu,mountain_nyala,sitatunga,eland,giant_eland	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	nyala,lesser_kudu	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	greater_kudu,mountain_nyala,sitatunga,eland,giant_eland	nan	nan	0	0	nan	nan	nan	nan	nan
b5	bushbuck	nan	nan	0.0670872	0.00410109	nan	nan	nan	nan	nan
b6	nyala	nan	0.120473	nan	nan	0.0823946	0.0818012	0.0824312	0.0557907	0.0586115
b7	lesser_kudu	nan	0	nan	nan	0	0	0	0	0
b8	mountain_nyala,sitatunga,eland,giant_eland	nan	0.0475148	0	0	nan	nan	nan	nan	nan
b9	greater_kudu	nan	0	0.0107291	0.0061675	nan	nan	nan	nan	nan
b10	mountain_nyala,sitatunga	nan	0.141568	0.0296753	0.00484972	0	nan	nan	nan	nan
b11	eland,giant_eland	nan	0	0	0	0.0563043	nan	nan	nan	nan
b12	mountain_nyala	nan	0.00709863	0.0104049	0	0.0453266	nan	nan	0	0
b13	sitatunga	nan	0	0	0	0	nan	nan	0.0324506	0.0272769
b14	eland	nan	0	0.00227984	0.020825	0.0301291	0	0	nan	nan
b15	giant_eland	nan	0	0	0	0	0.00392823	0.00327668	nan	nan
